#,单词,音标,解释,笔记
876,"didactic","英:/dɪ'dæktɪk/ 美:/daɪ'dæktɪk/","adj. 说教的；教诲的


副 词:  
didactically

名 词:  
didacticism",
877,"domesticate","英:/də'mestɪkeɪt/ 美:/də'mɛstɪket/","vt. 驯化

时 态:  
domesticated, domesticating, domesticates 

名 词:  
domestication",
878,"edify","英:/'edɪfaɪ/ 美:/ˈɛdəˌfaɪ/","vt. 启发；熏陶；教诲


时 态:  
edified, edifying, edifies 

名 词:  
edifier",
879,"denouement","英:/deinu:'mɔŋ/ 美:/ˌdenuˈmɑŋ/","n. (戏剧、小说等的)结局",
880,"leave-taking","英:/'li:v,teikiŋ/ 美:/ˈlivˌtekɪŋ/","n. 离去,告别,告别语",
881,"abeyance","英:/ə'beɪəns/ 美:/ə'beəns/","n. 中止，停顿；归属待定，暂搁


形容词:  
abeyant",
882,"anticlimax","英:/æntɪ'klaɪmæks/ 美:/ˌæntɪ'klaɪmæks/","- n. 突降法，反高潮
- 虎头蛇尾；苍白无力的结尾；令人扫兴的结尾

形容词:  
anticlimactic",
883,"cloture","英:/'kləʊtjʊə/ 美:/'klotʃɚ/","- vt. 结束辩论
- n. 讨论终结


时 态:  
clotured, cloturing, clotures",
884,"intermission","英:/ɪntə'mɪʃ(ə)n/ 美:/'ɪntɚ'mɪʃən/","n. 间歇，停顿；(放映电影中)中间休息",
885,"shelve","英:/ʃelv/ 美:/ʃɛlv/","- vt. 搁置，将某事放到一旁不予考虑
- vi. 倾斜


时 态:  
shelved, shelving, shelves 

名 词:  
shelver",
886,"stall","英:/stɔːl/ 美:/stɔl/","- n. 厩, 畜栏
- 摊, 棚
- 熄火, 停止转动
- vt. & vi. (使)熄火, (使)停止转动
- vi. 拖延
- vt. 搪塞

时 态:  
stalled, stalling, stalls",
887,"standstill","英:/'stæn(d)stɪl/ 美:/'stændstɪl/","n. 静止状态;停顿",
888,"stasis","英:/'steɪsɪs/ 美:/'stesɪs/","n. 郁积，停滞；血行停滞",
889,"motility","/məu'tiləti/","n. 运动性,自动力",
890,"upshot","英:/'ʌpʃɒt/ 美:/'ʌpʃɑt/","n. 结果",
891,"emanate","英:/'eməneɪt/ 美:/ˈɛməˌnet/","- vt. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散
- vi. 发源；发出；散发


时 态:  
emanated, emanating, emanates 

形容词:  
emanative",
892,"outset","英:/'aʊtset/ 美:/'aʊtsɛt/","n. 开始, 开端",
893,"preamble","英:/priː'æmb(ə)l/ 美:/'priæmbl/","- n. 序文；电报报头；先兆
- vi. 作序文",
894,"decree","英:/dɪ'kriː/ 美:/dɪ'kri/","- n. 法令；判决
- vt. 颁布；命令；判决；注定
- vi. 发布命令；注定


时 态:  
decreed, decreeing, decrees",
895,"enjoin","英:/ɪn'dʒɒɪn/ 美:/ɪn'dʒɔɪn/","vt. 命令；吩咐；嘱咐；禁止


时 态:  
enjoined, enjoining, enjoins",
896,"fiat","英:/'fiːæt/ 美:/'fiət/","- n. 命令；许可；政法
- vt. 批准；颁布

FIATabbr. Fabbrica Italiana Automobile Torino 菲亚特汽车公司
FIATabbr. Fabbrica Italiana Automobile Torino 〈意〉菲亚特汽车公司",
897,"injunction","英:/ɪn'dʒʌŋ(k)ʃ(ə)n/ 美:/ɪn'dʒʌŋkʃən/","n. 命令;强制令;禁止令

形容词:  
injunctive",
898,"rescript","英:/'riːskrɪpt/ 美:/ˈriˌskrɪpt/","n. 法令；布告；抄件",
899,"stipulation","英:/ˌstɪpjʊ'leɪʃn/ 美:/ˌstɪpjə'leʃən/","n. 契约；规定；条款；约定",
900,"writ","英:/rɪt/ 美:/rɪt/","n. 令状；文书；法院命令",
901,"aberration","英:/ˌæbə'reɪʃ(ə)n/ 美:/'æbə'reʃən/","- n. 偏差; 越轨
- 差错; 毛病",
902,"yaw","英:/jɔː/ 美:/jɔ/","- n. （火箭、飞机、宇宙飞船等）偏航
- vt. 使…偏航
- vi. 偏航


时 态:  
yawed, yawing, yaws",
903,"divagate","英:/'daɪvəgeɪt/ 美:/ˈdaɪvəˌɡet/","vi. 离题；流浪；漫游


时 态:  
divagated, divagating, divagates 

名 词:  
divagation",
904,"declination","英:/ˌdeklɪ'neɪʃ(ə)n/ 美:/ˌdɛklə'neʃən/","- n. 倾斜,下倾
- 赤纬
- 磁偏角

形容词:  
declinational",
905,"acclivity","英:/ə'klɪvɪtɪ/ 美:/ə'klɪvəti/","n. 向上的斜坡,上斜",
906,"declivity","英:/dɪ'klɪvɪtɪ/ 美:/dɪ'klɪvəti/","n. 斜坡",
907,"accede","英:/ək'siːd/ 美:/ək'sid/","- vi. 答应, 同意
- (正式)加入，参加
- 开始任职，就职，就任；就位，即位，继任
- (通过财产的添附而)增加；继承(财产)
- 接近

时 态:  
acceded, acceding, accedes",
908,"connive","英:/kə'naɪv/ 美:/kə'naɪv/","vi. 默许；共谋；纵容


时 态:  
connived, conniving, connives",
909,"amnesty","英:/'æmnɪstɪ/ 美:/'æmnəsti/","- n. 大赦，特赦
- vt. 对…实行大赦",
910,"remission","英:/rɪ'mɪʃ(ə)n/ 美:/rɪ'mɪʃən/","n. 缓和, 减轻",
911,"remit","英:/rɪ'mɪt/ 美:/'rimɪt/","- vt. 宽恕；免除；减轻；传送；使恢复原状
- vi. 汇款；缓和
- n. 移交的事物


时 态:  
remitted, remitting, remits 

名 词:  
remitter",
912,"abortive","英:/ə'bɔːtɪv/ 美:/ə'bɔrtɪv/","- adj. 落空的,失败的
- (动植物器官)败育的，发育不全的，发展不完全的，不 发育的
- (病情)顿挫性的
- 有堕胎作用的，引起流产的
- 流产的，小产的；(未成熟就)提前发生的
- n. 堕胎药
- 流产，小产
- adv. 落空地,失败地
- n. 落空,失败

副 词:  
abortively",
913,"fiasco","英:/fɪ'æskəʊ/ 美:/fɪ'æsko/","n. 彻底失败, 惨败",
914,"rout","英:/raʊt/ 美:/raʊt/","- vt. 击溃
- vi. 搜寻
- n. 溃败；暴动


时 态:  
routed, routing, routs",
915,"cognizance","英:/ˈkɔgnɪzəns/ 美:/ˈkɑɡnɪzəns/","n. 认识,审理,认定",
916,"cognizant","英:/'kɒ(g)nɪz(ə)nt/ 美:/'kɑgnɪzənt/","adj. 察知的, 认识(某事物)的",
917,"pitiful","英:/'pɪtɪfʊl/ 美:/'pɪtɪfəl/","- adj. 值得同情的,可怜的
- 可鄙的,可耻的

副 词:  
pitifully",
918,"backset","英:/'bækset/ 美:/ˈbækˌsɛt/","n. 挫折,涡流,倒退,逆流",
919,"ebb","英:/eb/ 美:/ɛb/","- n. 退潮；衰退；衰落
- vi. 衰退；衰落；潮退；减少

EBBabbr. Early Basic Breccia 早期基性角砾岩

时 态:  
ebbed, ebbing, ebbs",
920,"vestigial","英:/ve'stidʒiəl/ 美:/vɛˈstɪdʒiəl/","adj. 残留的; 残余的; 退化的",
921,"dilatory","英:/'dɪlət(ə)rɪ/ 美:/'dɪlətɔri/","adj. 拖拉的；缓慢的，不慌不忙的


副 词:  
dilatorily

名 词:  
dilatoriness",
922,"prorogue","英:/prə'rəʊg/ 美:/proˈroɡ/","v. 休会


时 态:  
prorogued, proroguing, prorogues 

名 词:  
prorogation",
923,"tarry","英:/'tɑːrɪ/ 美:/'tæri/","- vi. 耽搁；逗留；等候
- vt. [古]等待
- n. 逗留
- adj. 涂了焦油的


时 态:  
tarried, tarrying, tarries 

名 词:  
tarrier",
924,"bondage","英:/'bɒndɪdʒ/ 美:/'bɑndɪdʒ/","n. 奴役身份；奴役，束缚",
925,"circumscribe","英:/'sɜːkəmskraɪb/ 美:/ˌsɝkəm'sraɪb/","- vt. 在…周围划线
- 划定…范围；限制，限定

时 态:  
circumscribed，circumscribing，circumscribes",
926,"uncommitted","英:/ʌnkə'mɪtɪd/ 美:/'ʌnkə'mɪtɪd/","- adj. 不受(某政策、做法、团体等)约束的;未做承诺的
- 未遂的
- 未被监禁的",
927,"unbuttoned","英:/ˌʌn'bʌtənd/ 美:/ˌʌn'bʌtnd/","adj. 解开钮扣的,无拘束的",
928,"collate","英:/kə'leɪt/ 美:/kə'let/","- vt. 校对，整理
- n. 核对；小吃
- n. 校对者，整理者

时 态:  
collated，collating，collates 

名 词:  
collator",
929,"emendation","英:/ˌiːmen'deɪʃ(ə)n/ 美:/ɪˌmɛnˈdeʃən/","n. 校订;修改",
930,"splashy","英:/'splæʃɪ/ 美:/'splæʃi/","adj. 泥泞的；容易溅开的；遍布斑点的；引人注目的


比较级:  
splashier, splashiest",
931,"sport","英:/spɔːt/ 美:/spɔrt/","- n. 运动；运动会；游戏；娱乐；玩笑
- vi. 游戏
- vt. 游戏；夸耀；参加体育运动
- adj. 运动的


时 态:  
sported, sporting, sports 

形容词:  
sportful",
932,"swank","英:/swæŋk/ 美:/swæŋk/","vi. 炫耀；卖弄

比较级:  
swanker，swankest",
933,"exhibitionist","英:/ˌeksɪˈbɪʃənɪst/ 美:/ˌɛksɪ'bɪʃənɪst/","- n. 好自我表现者
- 有裸露癖者；露阴癖者",
934,"lucubrate","英:/'luːkjʊbreɪt/ 美:/'lʊkjʊ,bret/","- vi. (尤指挑灯)攻读〔写作〕
- 把心得书写成文

时 态:  
lucubrated, lucubrating, lucubrates",
935,"bookish","英:/'bʊkɪʃ/ 美:/'bʊkɪʃ/","adj. 书本上的,好学的",
936,"hereditary","英:/hɪ'redɪt(ə)rɪ/ 美:/hə'rɛdə'tɛri/","- adj. (生物学中)遗传的
- 世袭的; 承袭的

副 词:  
hereditarily",
937,"bequeath","英:/bɪ'kwiːð/ 美:/bɪ'kwið/","vt. 把…遗赠给；把…传下去；遗赠


时 态:  
bequeathed, bequeathing, bequeaths 

名 词:  
bequeather",
938,"bequest","英:/bɪ'kwest/ 美:/bɪˈkwɛst/","n. 遗产；遗赠",
939,"testament","英:/'testəm(ə)nt/ 美:/'tɛstəmənt/","- n. 遗嘱
- 实际的证明

形容词:  
testamentary",
940,"strew","英:/struː/ 美:/stru/","vt. 散播；撒满


时 态:  
strewed, strewn , strewed 
strewing, strews",
941,"wrought","英:/rɔːt/ 美:/rɔt/","- adj. 锻造的；加工的；精细的
- v. 工作（work的过去分词）",
942,"trample","英:/'træmp(ə)l/ 美:/'træmpl/","- vt. 践踏；蔑视，伤害
- vi. 践踏；蔑视，伤害；脚步沉重地走
- n. 蹂躏；践踏声


时 态:  
trampled, trampling, tramples 

名 词:  
trampler",
943,"ancillary","英:/æn'sɪlərɪ/ 美:/'ænsəlɛri/","- adj. 辅助的, 附属的
- n. 助手；随从",
944,"recourse","英:/rɪ'kɔːs/ 美:/'rikɔrs/","n. [商][律]追索权；依赖；救生索；求援，求助",
945,"hem","英:/hem/ 美:/hɛm/","- n. 摺边；边，边缘
- vt. 包围；给...缝边
- vi. 做褶边


时 态:  
hemmed, hemming, hems 

名 词:  
hemmer",
946,"environ","英:/ɪn'vaɪrən/ 美:/ɪn'vaɪrən/","vt. 环绕；包围；（敌意地或保护性的）围住


时 态:  
environed, environing, environs",
947,"aegis","英:/'iːdʒɪs/ 美:/'idʒɪs/","- n. 保护；庇护
- 支持，赞助；主办
- 在…的支持下，在…的保护下
- 由…主办，由…发起",
948,"tutelage","英:/'tjuːtɪlɪdʒ/ 美:/'tʊtəlɪdʒ/","n. 监护；指导",
949,"protégé","/'prəʊtəʒeɪ/","n. 被保护者, 门生",
950,"bulwark","英:/'bʊlwək/ 美:/'bʊlwɝk/","- n. 堡垒,堤岸
- 保障；支柱
- 舷墙
- vt. 筑垒保卫
- 保护,使安全

时 态:  
bulwarked, bulwarking, bulwarks",
951,"nemesis","英:/ˈneməsɪs/ 美:/ˈnɛmɪsɪs/","n. 报应；给与惩罚的人；天罚

Nemesisn. 报应,复仇女神",
952,"reprisal","英:/rɪ'praɪz(ə)l/ 美:/rɪ'praɪzl/","n. 报复（行为）；报复性劫掠",
953,"wreak","英:/riːk/ 美:/rik/","vt. 诉诸(武力)；施行(暴力)；发(脾气)

时 态:  
wreaked，wreaking，wreaks",
954,"demean","英:/dɪ'miːn/ 美:/dɪˈmin/","vt. 使降低身份,使卑下

时 态:  
demeaned, demeaning, demeans",
955,"derogate","英:/'derəgeɪt/ 美:/'dɛrəɡet/","- vi. 贬损；减损
- vt. 毁损；贬低；诽谤


时 态:  
derogated, derogating, derogates 

名 词:  
derogation",
956,"embroil","英:/ɪm'brɒɪl/ 美:/ɪm'brɔɪl/","vt. 使卷入；使混乱


时 态:  
embroiled, embroiling, embroils 

名 词:  
embroilment",
957,"implicate","英:/'ɪmplɪkeɪt/ 美:/'ɪmplɪket/","vt. 牵连, 涉及

时 态:  
implicated, implicating, implicates",
958,"pester","英:/'pestə/ 美:/ˈpɛstɚ/","vt. 使烦恼；纠缠

时 态:  
pestered，pestering，pesters 

名 词:  
pesterer",
959,"omnivorous","英:/ɒm'nɪv(ə)rəs/ 美:/ɑm'nɪvərəs/","- adj. (尤指动物)杂食性的，肉草兼食的
- 对任何事物均感兴趣的；什么书都看的

副 词:  
omnivorously",
960,"beset","英:/bɪ'set/ 美:/bɪ'sɛt/","vt. 困扰；围绕；镶嵌


时 态:  
beset, besetting, besets 

名 词:  
besetment",
961,"interpolate","英:/ɪn'tɜːpəleɪt/ 美:/ɪn'tɝpəlet/","- v. 插入,插(话)
- 篡改

时 态:  
interpolated, interpolating, interpolates 

名 词:  
interpolation

形容词:  
interpolative

名 词:  
interpolator",
962,"controvert","英:/'kɒntrəvɜːt/ 美:/ˈkɑntrəˌvə..t/","vt. 争论,反驳,否定

时 态:  
controverted, controverting, controverts 

形容词:  
controvertible",
963,"contumacy","英:/'kɒntjʊməsɪ/ 美:/ˈkɑntuməsi/","n. 拒不服从;固执",
964,"demur","英:/dɪ'mɜː/ 美:/dɪ'mɝ/","- vi. 反对；提出异议；抗辩
- n. 反对；异议


时 态:  
demurred, demurring, demurs 

形容词:  
demurrable",
965,"overpowering","英:/ˌəʊvəˈpaʊərɪŋ/ 美:/'ovɚ'paʊərɪŋ/","adj. 压倒(优势)的，不可抗拒的；使人无法忍受的",
966,"rebuttal","英:/rɪˈbʌtl/ 美:/rɪ'bʌtl/","n. 举反例;反驳;抗辩",
967,"oppugn","英:/ə'pjuːn/ 美:/ə'pjʊn/","vt. 责难,反驳,质疑,抗击

时 态:  
oppugned, oppugning, oppugns 

名 词:  
oppugner",
968,"double-cross","英:/'dʌbl'krɔs/ 美:/ˈdʌbəlˈkrɔs/","- vt. 出卖,欺骗
- vi. 进行欺骗

时 态:  
double-crossed, double-crossing, double-crosses 

名 词:  
double-crosser",
969,"disaffected","英:/ˌdɪsəˈfektɪd/ 美:/ˌdɪsə'fɛktɪd/","adj. 不满的;不忠的",
970,"disclaimer","英:/dɪs'kleɪmə/ 美:/dɪs'klemɚ/","n. 放弃,拒绝,放弃者,不承诺",
971,"override","英:/əʊvə'raɪd/ 美:/ˌovɚ'raɪd/","- vt. 不顾, 不理
- 优先于, 压倒

时 态:  
overrode 
overridden 
overriding, overrides",
972,"overrule","英:/əʊvə'ruːl/ 美:/ˌovɚ'rul/","vt. 否决；统治；对…施加影响


时 态:  
overruled, overruling, overrules",
973,"apophasis","英:/ə'pɒfəsɪs/ 美:/əˈpɑfəsɪs/","n. 表面否认要说或正说的话",
974,"unrequited","英:/ʌnrɪ'kwaɪtɪd/ 美:/ˌʌnrɪ'kwaɪtɪd/","adj. (尤指爱情)得不到回应或报答的",
975,"devolve","英:/dɪ'vɒlv/ 美:/dɪ'vɑlv/","- vi. 被移交；转让
- vt. 转移；移交；使滚下；衰落


时 态:  
devolved, devolving, devolves",
976,"induct","英:/ɪn'dʌkt/ 美:/ɪn'dʌkt/","vt. 引导；感应；使…就职；征召入伍


时 态:  
inducted, inducting, inducts",
977,"induction","英:/ɪn'dʌkʃ(ə)n/ 美:/ɪn'dʌkʃən/","- n. 就职, 入伍
- 吸入
- (电或磁的)感应
- 归纳(法)",
978,"instate","英:/ɪn'steɪt/ 美:/ɪnˈstet/","vt. 任命


时 态:  
instated, instating, instates",
979,"ordain","英:/ɔː'deɪn/ 美:/ɔr'den/","- vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
- vi. 颁布命令


时 态:  
ordained, ordaining, ordains 

名 词:  
ordainer",
980,"preside","英:/prɪ'zaɪd/ 美:/prɪ'zaɪd/","- vi. 主持，担任会议主席
- vt. 管理


时 态:  
presided, presiding, presides 

名 词:  
presider",
981,"foray","英:/'fɒreɪ/ 美:/'fɔre/","- n. 突袭；侵略；攻击
- vi. 袭击
- vt. 劫掠


时 态:  
forayed, foraying, forays",
982,"impinge","英:/ɪm'pɪn(d)ʒ/ 美:/ɪm'pɪndʒ/","- vi. 撞击；侵犯
- vt. 撞击


时 态:  
impinged, impinging, impinges 

名 词:  
impingement

名 词:  
impinger",
983,"inroad","英:/'ɪnrəʊd/ 美:/ˈɪnˌrod/","n. 侵袭，袭击；减少",
984,"onslaught","英:/'ɒnslɔːt/ 美:/'ɑnslɔt/","n. 猛攻, 攻击",
985,"propound","英:/prə'paʊnd/ 美:/prə'paʊnd/","vt. 提出；提议；将…提供考虑


时 态:  
propounded, propounding, propounds",
986,"adduce","英:/ə'djuːs/ 美:/ə'dus/","vt. 引证, 举出(例证、理由等)

时 态:  
adduced, adducing, adduces",
987,"dispense","英:/dɪ'spens/ 美:/dɪ'spɛns/","- vt. 分配，分发；施与，试行
- 配(药)，发(药)

时 态:  
dispensed，dispensing，dispenses",
988,"endue","英:/ɪn'djuː/ 美:/ɛnˈdu/","vt. 授予,赋予(特性、才能等)

时 态:  
endued, enduing, endues",
989,"mete","英:/miːt/ 美:/mit/","vt. (对某人)施以,给予(处罚等)

时 态:  
meted, meting, metes",
990,"render","英:/'rendə/ 美:/'rɛndɚ/","- vt. 报答；归还；给予
- 呈递；提供；开出
- 演出；扮演；演奏
- 翻译
- 使；致使

时 态:  
rendered，rendering，renders 

名 词:  
renderer",
991,"accoutre","/ə'kuːtə/","vt. 装备；供以军用品；供以服装",
992,"envisage","英:/ɪn'vɪzɪdʒ/ 美:/ɪn'vɪzɪdʒ/","vt. 正视，面对；想像


时 态:  
envisaged, envisaging, envisages",
993,"ogle","英:/'əʊg(ə)l/ 美:/'oɡl/","- vt. 向…抛媚眼；注视
- vi. 做媚眼
- n. 眉目传情；媚眼


时 态:  
ogled, ogling, ogles 

名 词:  
ogler",
994,"peery","/'piəri/","adj. 好奇的,怀疑的",
995,"imbue","英:/ɪm'bjuː/ 美:/ɪm'bjʊ/","- vt. 使(某人/某事)充满或激起(感情等)
- 使充满，灌输，激发(强烈感情或品质等)

时 态:  
imbued, imbuing, imbues",
996,"inculcate","英:/'ɪnkʌlkeɪt/ 美:/ɪn'kʌlket/","vt. 极力主张, 反复灌输

时 态:  
inculcated, inculcating, inculcates 

名 词:  
inculcation

名 词:  
inculcator",
997,"affiliate","英:/ə'fɪlɪeɪt/ 美:/ə'fɪlɪet/","v. （使）附属，隶属；加入，加盟，并入；接纳；紧密联系
n. 分支机构；子公司；分社；联号

时 态:  
affiliated, affiliating, affiliates 

名 词:  
affiliation",
998,"affiliation","英:/əfɪlɪ'eɪʃ(ə)n/ 美:/ə,fɪlɪ'eʃən/","- n. 联系;从属关系
- 附属机构，隶属机构，分公司，分会，分部
- 接纳，入会，交往，社会交际关系
- 亲和性，群聚性
- 亲父鉴定",
999,"conflate","英:/kən'fleɪt/ 美:/kənˈflet/","vt. 合并；异文合并


时 态:  
conflated, conflating, conflates 

名 词:  
conflation",
1000,"meld","英:/meld/ 美:/mɛld/","- vi. 合并；混合
- vt. 使…合并；使…混合
- n. 结合；融合


时 态:  
melded, melding, melds",
1001,"expedite","英:/'ekspɪdaɪt/ 美:/'ɛkspədaɪt/","- vt. 加快进展
- 迅速完成

时 态:  
expedited, expediting, expedites",
1002,"whet","英:/wet/ 美:/wɛt/","- vt. (在石头上)磨(刀、斧等)
- 引起,刺激(食欲、欲望、兴趣等)
- 增进某人的食欲；吊某人胃口；使人感兴趣

时 态:  
whetted, whetting, whets",
1003,"abstinent","/'æbstinənt/","- adj. 饮食有度的,有节制的,禁欲的
- n. 禁欲者",
1004,"continent","英:/'kɒntɪnənt/ 美:/'kɑntɪnənt/","- n. 洲, 大陆
- adj. 自制的, 克制的

副 词:  
continently",
1005,"forbearance","英:/fɔː'beər(ə)ns/ 美:/fɔr'bɛrəns/","n. 忍耐，克制；宽容",
1006,"sobriety","英:/sə'braɪətɪ/ 美:/sə'braɪəti/","n. 节制；清醒，冷静；严肃",
1007,"continence","英:/'kɒntɪnəns/ 美:/'kɑntɪnəns/","n. 节欲（尤指禁欲）；自制，克制",
1008,"debar","英:/dɪ'bɑː/ 美:/dɪ'bɑr/","vt. 阻止；排除；防止


时 态:  
debarred, debarring, debars 

名 词:  
debarment",
1009,"taboo","英:/tə'buː/ 美:/tə'bu/","- n. 禁忌；禁止
- adj. 禁忌的；忌讳的
- vt. 禁止；禁忌",
1010,"crusade","英:/kruː'seɪd/ 美:/kru'sed/","- n. 改革运动；十字军东侵
- vi. 加入十字军；从事改革运动


时 态:  
crusaded, crusading, crusades 

名 词:  
crusader",
1011,"vying","英:/'vaɪɪŋ/ 美:/'vaɪɪŋ/","adj. 竞争的;竞赛的",
1012,"distension","英:/dɪˈstenʃən/ 美:/dɪ'stɛnʃən/","n. 膨胀，扩张",
1013,"distention","英:/dɪs'tenʃən/ 美:/dɪˈstɛnʃən/","n. 膨胀,延伸",
1014,"serviceable","英:/'sɜːvɪsəb(ə)l/ 美:/'sɝvɪsəbl/","- adj. 有用的；可供使用的
- 耐用的

副 词:  
serviceably",
1015,"untapped","英:/ʌn'tæpt/ 美:/ʌnˈtæpt/","adj. 未使用的；未开发的；塞子未开的",
1016,"astray","英:/ə'streɪ/ 美:/ə'stre/","- adv. 迷途地；迷路；误入歧途地
- adj. 离开正道的；不对头的；迷路的


形容词:  
astray",
1017,"bemused","/bɪ'mjuzd/","adj. 困惑的; 茫然的; 不知所措的",
1018,"daze","英:/deɪz/ 美:/dez/","- vt. 使(某人)迷乱而不能做出正确反应；使茫然
- 使(某人)惊奇与迷惑

时 态:  
dazed，dazing，dazes",
